               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081276,            0.021146,            0.034835,             0.21177,             0.31176,             0.14554,            0.039655,            0.056435,             0.01011,            0.027127,            0.070366,           0.0032927,           0.0032927
                   1,             0.06243,             0.01976,            0.029816,             0.19724,             0.30876,              0.2156,            0.093449,            0.050791,            0.010269,            0.026073,            0.040147,           0.0064074,           0.0064074
                   2,            0.061186,            0.017982,            0.024446,             0.57596,              0.2614,             0.26013,             0.10037,            0.058218,            0.010014,            0.026066,           0.0097085,            0.009302,            0.009302
                   3,            0.057022,              0.0179,            0.022222,            0.028941,            0.010196,            0.006579,           0.0017186,            0.068461,             0.01144,            0.025927,             0.00901,             0.00901,             0.00901
                   4,            0.053312,             0.01819,            0.019303,             0.51081,             0.56595,             0.51264,             0.26068,            0.041138,           0.0086028,            0.018268,             0.00901,             0.00901,             0.00901
                   5,            0.051451,            0.018048,             0.01868,             0.56428,             0.54415,             0.59341,             0.30997,            0.038696,           0.0080102,            0.021918,             0.00868,             0.00868,             0.00868
                   6,            0.049543,             0.01748,            0.018522,             0.59316,             0.60142,              0.6014,             0.32073,            0.036975,           0.0081064,            0.012159,             0.00835,             0.00835,             0.00835
                   7,            0.049141,            0.016879,            0.016831,             0.46394,             0.30649,             0.31505,             0.12717,            0.050769,            0.011152,             0.02129,             0.00802,             0.00802,             0.00802
                   8,            0.047671,            0.017476,             0.01687,             0.51811,             0.34121,             0.34326,             0.14101,            0.059705,           0.0090121,            0.025407,             0.00769,             0.00769,             0.00769
                   9,            0.046363,            0.016703,            0.017234,             0.65119,             0.60309,             0.64899,             0.34493,            0.037758,           0.0079643,            0.012886,             0.00736,             0.00736,             0.00736
                  10,            0.045598,            0.016431,            0.013449,             0.70333,             0.68596,             0.73572,             0.37551,            0.039339,           0.0074847,           0.0086621,             0.00703,             0.00703,             0.00703
                  11,            0.044137,            0.017054,            0.013525,             0.65817,             0.63797,             0.63904,             0.34649,            0.038399,           0.0088082,            0.010231,              0.0067,              0.0067,              0.0067
                  12,             0.04175,             0.01664,            0.013044,             0.77172,             0.75353,             0.80283,             0.42948,            0.031143,           0.0071462,           0.0086346,             0.00637,             0.00637,             0.00637
                  13,             0.04144,            0.015808,            0.013492,             0.73218,             0.70368,             0.73033,             0.41321,            0.039845,           0.0075829,           0.0083752,             0.00604,             0.00604,             0.00604
                  14,            0.040282,            0.015098,            0.012216,              0.8191,             0.76568,             0.83985,             0.45964,            0.031185,           0.0070021,           0.0044964,             0.00571,             0.00571,             0.00571
                  15,             0.03995,            0.015602,            0.011477,             0.83563,             0.79402,              0.8539,             0.50406,            0.030198,           0.0062686,           0.0036957,             0.00538,             0.00538,             0.00538
                  16,            0.039871,            0.015992,             0.01025,             0.79221,             0.83251,             0.85161,             0.50025,            0.028837,           0.0061834,            0.011353,             0.00505,             0.00505,             0.00505
                  17,            0.037766,            0.015102,           0.0095613,             0.84935,             0.81903,             0.87963,             0.50279,            0.031649,           0.0065792,           0.0025394,             0.00472,             0.00472,             0.00472
                  18,            0.036155,              0.0145,           0.0083391,             0.87021,             0.81077,             0.86627,             0.53723,            0.028339,           0.0069198,           0.0034083,             0.00439,             0.00439,             0.00439
                  19,            0.036444,            0.014891,           0.0086339,             0.87859,             0.89382,             0.92225,             0.56851,             0.02766,           0.0057257,           0.0024041,             0.00406,             0.00406,             0.00406
                  20,            0.035851,            0.014529,           0.0086196,             0.90347,             0.86725,             0.92154,             0.59183,            0.025852,           0.0057401,           0.0035335,             0.00373,             0.00373,             0.00373
                  21,            0.034534,            0.014228,           0.0081273,             0.84703,              0.8192,             0.85447,             0.49634,            0.027729,           0.0071124,           0.0059082,              0.0034,              0.0034,              0.0034
                  22,            0.034225,            0.013577,           0.0077091,             0.91713,             0.86891,             0.92332,             0.59297,            0.025253,           0.0059225,           0.0018221,             0.00307,             0.00307,             0.00307
                  23,            0.033265,            0.013505,           0.0075334,             0.91116,             0.86035,             0.93019,             0.57346,            0.025691,           0.0061339,           0.0025318,             0.00274,             0.00274,             0.00274
                  24,            0.031657,            0.013012,           0.0068114,             0.91524,             0.91131,             0.95754,             0.64233,            0.022587,           0.0052533,           0.0022389,             0.00241,             0.00241,             0.00241
                  25,             0.03098,             0.01288,            0.006437,             0.88647,             0.91288,             0.93876,             0.61147,            0.024858,           0.0057796,           0.0024092,             0.00208,             0.00208,             0.00208
                  26,            0.030588,            0.012641,           0.0058587,             0.92659,             0.95411,             0.97801,             0.69541,             0.02057,           0.0049003,           0.0015096,             0.00175,             0.00175,             0.00175
                  27,            0.029758,            0.012059,           0.0068318,             0.93721,             0.94148,             0.97694,             0.71036,            0.020459,           0.0046355,           0.0010019,             0.00142,             0.00142,             0.00142
                  28,            0.029105,            0.012416,           0.0064621,             0.96369,             0.93119,             0.96935,             0.69556,            0.021135,           0.0050118,           0.0012323,             0.00109,             0.00109,             0.00109
                  29,            0.027541,            0.011866,           0.0057804,             0.90999,              0.9209,             0.94789,             0.65262,            0.022692,           0.0057723,            0.001585,             0.00076,             0.00076,             0.00076
